step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.03828125,0.2146124240202508,,-33.62769777601389,25.803703766004812,-84.20202782512386,16.946632273096085,8.81561795228047,86,9588.434859689432,11.98554357461179,0.08683200017862226,0.10734401832605442,0.25,0.27,0.1075,False,False,False,9588.434859689432,9588.434859689432
6,treatment,policy_value_confident,profit,0.02828125,0.21312757224214948,0.18839612050580112,-47.866965237078,19.567272839208893,-86.21811527759623,-9.515815196559771,-15.681665537956235,163,8774.280203345243,10.967850254181553,0.08065005307392195,0.0994600558937871,0.25,0.25625,0.09625,True,True,False,8524.280203345243,18112.715063034673
7,treatment,policy_value_confident,profit,0.03266600419430355,0.21833830310201496,0.1226492667387748,-18.79893379740816,15.090163075277005,-48.375109945787266,10.777242350970944,6.022175668250391,247,9254.420675689535,11.568025844611919,0.08175625063924215,0.06826096848944557,0.25,0.2875,0.105,False,False,False,9254.420675689535,27367.13573872421
8,treatment,policy_value_confident,profit,0.03304056525555989,0.21493777990596882,0.16430943093826997,-5.057228483441205,14.797532648399814,-34.059859534360434,23.945402567478023,19.282546763212046,232,9461.057717038915,11.826322146298644,0.08459456630615997,0.07266361674135666,0.25,0.28125,0.08875,False,False,False,9461.057717038915,36828.193455763125
9,treatment,policy_value_confident,profit,0.039206435329691765,0.22192992535246364,0.20818889759496573,18.898282067606637,11.714723066743872,-4.062153232071957,41.85871736728523,38.16728679267236,232,9590.296893614677,11.987871117018347,0.08591619517428244,0.07526746247263393,0.25,0.29625,0.09625,False,False,False,9590.296893614677,46418.490349377804
10,treatment,policy_value_confident,profit,0.036338580277019125,0.22535085806148636,0.1619152930124168,-0.6896915275834936,14.263607149616103,-28.645847830459065,27.266464775292075,22.771854425873492,228,8990.709441950185,11.23838680243773,0.08480588183567582,0.0713234037406841,0.25,0.2675,0.1,False,False,False,8990.709441950185,55409.19979132799
11,treatment,policy_value_confident,profit,0.03430635485758876,0.21805137972757882,0.22443669944006434,-8.98745826553652,13.783125757013856,-36.00188834367004,18.026971812596997,13.68376612661597,231,8637.850067946472,10.79731258493309,0.08181088122898367,0.06515374615358258,0.25,0.26875,0.0925,False,False,False,8637.850067946472,64047.04985927446
12,treatment,policy_value_confident,profit,0.03825235319937573,0.2140766238987304,0.17608757258385066,-10.237772499592394,15.629690244806614,-40.87140246893037,20.39585746974558,15.470780187705797,238,8759.311059166317,10.949138823957897,0.08261907797958352,0.07037022285661843,0.25,0.27625,0.105,False,False,False,8759.311059166317,72806.36091844078
13,treatment,policy_value_confident,profit,0.03071004438158408,0.20879286762243343,0.14434739376764008,1.121145289044446,12.42841595674922,-23.238102371066933,25.480392949155824,21.564070352764944,252,8737.896812469859,10.922371015587323,0.08246978975738,0.06801392466475016,0.25,0.27625,0.1175,False,False,False,8737.896812469859,81544.25773091064
14,treatment,policy_value_confident,profit,0.034100053648068666,0.22322739911447584,0.169918402420442,-2.498285064245456,12.433270984545715,-26.867048403981904,21.870478275490996,17.95262580955506,262,-9754.32368163519,-12.192904602043987,-0.14624872236319145,0.06435433431816172,0.25,0.27875,0.105,False,False,False,-9754.32368163519,71789.93404927546
15,treatment,policy_value_confident,profit,0.041015777409286,0.212963401620457,0.20942264578325345,0.4372867700314015,10.256802488758137,-19.66567670447533,20.540250244538136,17.308225544590105,247,-9695.851823490133,-12.119814779362667,-0.14720904751123765,0.06080587543555229,0.25,0.2725,0.08625,False,False,False,-9695.851823490133,62094.08222578532
16,treatment,policy_value_confident,profit,0.02548356418259852,0.20994379539751976,0.2546398330256841,-3.148135232684096,11.235923404797603,-25.170140439138052,18.873869973769857,15.333314131846167,246,-9689.992183883573,-12.112490229854465,-0.14375637042777942,0.06863846089095124,0.25,0.275,0.11625,False,False,False,-9689.992183883573,52404.09004190175
17,treatment,policy_value_confident,profit,0.03599572034724932,0.21019778110603518,0.2382160281360169,3.876577793920701,10.723300009728426,-17.140704020565018,24.893859608406423,21.514836707811256,223,-9329.596628620073,-11.66199578577509,-0.14389844976299188,0.06326226306643623,0.25,0.27125,0.07625,False,False,False,-9329.596628620073,43074.49341328168
