step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.033375,0.2251069496221235,,26.576172444058283,17.40522682129443,4.270476762569533,48.88186812554703,41.22478091201248,85,9815.931701223557,12.269914626529447,0.08302983655652083,0.08712886452694352,0.25,0.2775,0.10625,False,False,False,9815.931701223557,9815.931701223557
6,treatment,policy_value_confident,profit,0.0330625,0.20160596098139158,0.21531038440497854,-10.566603090542332,14.408393241164779,-29.031702005739298,7.898495824654633,1.5598066028904114,167,8915.44743830369,11.144309297879612,0.08068194457575867,0.08449719456833779,0.25,0.25875,0.1025,False,False,False,8915.44743830369,18731.37913952725
7,treatment,policy_value_confident,profit,0.0343125,0.20712819357363726,0.19054083586835888,3.6289043694619725,12.72327995968329,-12.676634981732393,19.93444372065634,14.337086944224165,228,9178.043947279846,11.472554934099808,0.08052910299966957,0.08394424115367945,0.25,0.27875,0.07625,False,False,False,9178.043947279846,27909.423086807095
8,treatment,policy_value_confident,profit,0.02790625,0.22015947248147488,0.1924888946999135,-1.0089375391520687,13.92119111694082,-18.84966180931316,16.831786731009025,10.707432501491963,216,8850.10520086073,11.062631501075911,0.07872228920804457,0.08138617387425506,0.25,0.265,0.09125,False,False,False,8850.10520086073,36759.528287667825
9,treatment,policy_value_confident,profit,0.0333125,0.21282446213624262,0.15710080046097616,23.149183218296415,13.588113758359357,5.735314758472853,40.563051678119976,34.585228281535905,219,8879.220979530972,11.099026224413715,0.08377058588982197,0.08649052120017718,0.25,0.2725,0.10625,False,False,False,8879.220979530972,45638.7492671988
10,treatment,policy_value_confident,profit,0.030656250000000003,0.20942561976514285,0.15493850708338955,4.095766059483495,14.371288026391351,-14.321780609630714,22.513312728597704,16.190947216286638,226,9072.807795683133,11.341009744603916,0.080430314192478,0.08233022198495109,0.25,0.26375,0.085,False,False,False,9072.807795683133,54711.55706288193
11,treatment,policy_value_confident,profit,0.03571875,0.21468261402467906,0.14007743233457895,15.902860778007062,15.059468153192984,-3.396624209986461,35.20234576600058,28.57722894204936,246,9016.820895491604,11.271026119364505,0.07948643540309865,0.08375727793941767,0.25,0.26875,0.11625,False,False,False,9016.820895491604,63728.37795837354
12,treatment,policy_value_confident,profit,0.032968750000000005,0.2112282215236472,0.10870861847222636,2.1055993219269866,14.787307934247918,-16.845098311398527,21.056296955252503,14.550911666771263,262,8593.227229492217,10.741534036865271,0.07983151749138212,0.08235523903954495,0.25,0.2675,0.12625,False,False,False,8593.227229492217,72321.60518786576
13,treatment,policy_value_confident,profit,0.03378125,0.2179290051917936,0.12225185670383874,5.348817118742985,14.547199935827097,-13.294169733306543,23.991803970792514,17.592049473765606,269,9082.563268255954,11.353204085319941,0.0816908692818864,0.08743007991862133,0.25,0.27375,0.09375,False,False,False,9082.563268255954,81404.16845612171
14,treatment,policy_value_confident,profit,0.04209375,0.23871573313009542,0.1339154471054862,-12.956274228028793,13.125452873533401,-29.7772189065874,3.8646704505298146,-1.9096143894024582,262,-8855.42134287299,-11.069276678591239,-0.14283002578605575,0.08993168428100183,0.25,0.275,0.1075,True,True,False,-9105.42134287299,72298.74711324873
