step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,policy_value_standard_error,policy_value_lower,policy_value_upper,policy_value_upper_one_sided,policy_value_monitor_n,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retraining_requested,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value_confident,profit,0.03065625,0.21232283824611095,,32.122806242822186,21.44019675514283,4.646088525684629,59.59952395995974,50.16733108393149,74,8028.482237549061,10.035602796936326,0.07997374885659135,0.057267158013134256,0.25,0.27375,0.0925,False,False,False,8028.482237549061,8028.482237549061
6,treatment,policy_value_confident,profit,0.03665625,0.2216697141599195,0.21827446779892012,49.33379291816243,18.043092795994397,26.210639098189304,72.45694673813556,64.5192429345978,150,8746.83770123608,10.9335471265451,0.08573813913033611,0.06091686200874879,0.25,0.28,0.095,False,False,False,8746.83770123608,16775.319938785142
7,treatment,policy_value_confident,profit,0.03653125,0.22300624452595066,0.22557558372485298,53.445503929866746,14.623892661324609,34.704231395389996,72.1867764643435,65.75328251112865,224,8736.356106439625,10.920445133049531,0.08547132984643614,0.05986703924842833,0.25,0.27375,0.0925,False,False,False,8736.356106439625,25511.67604522477
8,treatment,policy_value_confident,profit,0.029906250000000002,0.20866817492276113,0.19921793303532181,43.848530654821424,15.31765677132582,24.218163639053966,63.47889767058888,56.74019584215117,235,8015.866473113271,10.01983309139159,0.0784730333045882,0.056462871823401525,0.25,0.2725,0.10625,False,False,False,8015.866473113271,33527.54251833804
9,treatment,policy_value_confident,profit,0.03553125,0.21656137690213817,0.12678047495350753,28.265873075153944,13.769229689427211,10.619895210325307,45.911850939982585,39.85434915171847,247,8151.338723139082,10.189173403923853,0.07927357163371312,0.058132762973777646,0.25,0.27625,0.11,False,False,False,8151.338723139082,41678.881241477124
10,treatment,policy_value_confident,profit,0.03453125,0.2175738292464842,0.1260763729997819,20.07387957310181,12.890287094650144,3.5543119666335556,36.59344717957006,30.922618898810285,262,8705.954426520619,10.882443033150773,0.08191781503841535,0.06071511151818058,0.25,0.29,0.11125,False,False,False,8705.954426520619,50384.835667997744
11,treatment,policy_value_confident,profit,0.02796875,0.20733545740673193,0.14969785525947565,16.494436097630064,12.615618528091085,0.32687042264146626,32.662001772618666,27.1120085255274,255,7777.853740324488,9.72231717540561,0.0805613579852362,0.058077611048996634,0.25,0.27625,0.0975,False,False,False,7777.853740324488,58162.68940832223
12,treatment,policy_value_confident,profit,0.029875000000000002,0.21874649775956925,0.18186607399750562,28.639272833918348,13.945750047612663,10.767075027706653,46.51147064013004,40.37631219208964,258,8755.479042715187,10.944348803393984,0.08447288156674933,0.06227137582460748,0.25,0.28125,0.11375,False,False,False,8755.479042715187,66918.16845103742
13,treatment,policy_value_confident,profit,0.029656250000000002,0.22074710094293518,0.1753440288298562,19.842777233919534,13.995856664061712,1.9063652149534178,37.77918925288565,31.62198738443685,253,8482.972984413518,10.603716230516898,0.08061642213267736,0.06100536660488098,0.25,0.2825,0.105,False,False,False,8482.972984413518,75401.14143545093
14,treatment,policy_value_confident,profit,0.03075,0.2069408513911127,0.1856508315547613,20.612377322905395,12.292977702101547,4.85829250357229,36.366462142238504,30.95840838083243,272,-9326.09474245804,-11.657618428072551,-0.14231672969830847,0.06177272660122823,0.25,0.28,0.12125,False,False,False,-9326.09474245804,66075.0466929929
