step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.0385625,0.21192841662151352,0.01763215823067166,,7889.296371007047,9.86162046375881,0.08235356959663985,0.08112459073758138,0.25,0.27625,0.09625,False,False,7889.296371007047,7889.296371007047
6,treatment,policy_value,profit,0.0343125,0.2146409864811149,0.025222388725683168,,8311.172989979385,10.38896623747423,0.08288655813125692,0.0826350776961156,0.25,0.27,0.1,False,False,8311.172989979385,16200.469360986432
7,treatment,policy_value,profit,0.02809375,0.21643947074979267,0.052335591196145094,,7870.255610160832,9.837819512701039,0.08165706456248852,0.08127453978485409,0.25,0.2675,0.1075,False,False,7870.255610160832,24070.72497114726
8,treatment,policy_value,profit,0.0305625,0.21056681181439693,0.0535548563376222,,8663.81854797363,10.829773184967037,0.08261006546127808,0.07987798687832962,0.25,0.28125,0.1075,False,False,8663.81854797363,32734.54351912089
9,treatment,policy_value,profit,0.035250000000000004,0.21639490761313224,0.12850006451362947,13.070725374080528,8128.162583118086,10.160203228897608,0.08039719107220304,0.07827955748076935,0.25,0.28,0.08875,False,False,8128.162583118086,40862.706102238975
10,treatment,policy_value,profit,0.031,0.2099009058751568,0.1371264577882389,17.8909165646868,8069.94443551909,10.087430544398863,0.0779223610571749,0.07859275006574191,0.25,0.2725,0.0925,False,False,8069.94443551909,48932.65053775806
11,treatment,policy_value,profit,0.03015625,0.21877073424270183,0.14416586546196516,23.287257277798165,8125.035905882115,10.156294882352643,0.07946086592387804,0.08092192033089038,0.25,0.27375,0.09875,False,False,8125.035905882115,57057.686443640174
12,treatment,policy_value,profit,0.0395625,0.22067747812833788,0.12101577082334634,30.212423044150224,8050.832292283494,10.063540365354367,0.08540984761949552,0.08244736481120206,0.25,0.2825,0.1125,False,False,8050.832292283494,65108.518735923666
13,treatment,policy_value,profit,0.037093749999999995,0.2173926803810575,0.16618864922355572,19.435419360605664,8863.185642997287,11.078982053746609,0.08194208808400333,0.08181560748074553,0.25,0.28,0.0975,False,False,8863.185642997287,73971.70437892096
14,treatment,policy_value,profit,0.030875,0.21789172489659722,0.1660452257135838,11.646179535025968,-8893.955223868408,-11.11744402983551,-0.14417744555632508,0.07853629286414888,0.25,0.265,0.0775,False,False,-8893.955223868408,65077.749155052545
15,treatment,policy_value,profit,0.03178125,0.22005280465091892,0.1541953518733066,-0.6925320279787861,-9229.66733675797,-11.537084170947463,-0.1426033550298638,0.07911232789880766,0.25,0.2725,0.10875,True,False,-9479.66733675797,55598.08181829457
16,treatment,policy_value,profit,0.051032196969696964,0.2242108761567841,0.09965310037857657,-2.8912985654062164,-9930.126663658553,-12.412658329573192,-0.1376545993880344,0.06900157548278776,0.25,0.285,0.1125,False,True,-9930.126663658553,45667.955154636016
17,treatment,policy_value,profit,0.047042297979797976,0.23217470188275982,0.14789151390884683,-11.997523040750856,-9966.108078068588,-12.457635097585735,-0.14532871860328275,0.0692022823152381,0.25,0.2725,0.0925,False,True,-9966.108078068588,35701.84707656743
