step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.0355625,0.22259357320228948,0.01845473317585073,,8700.7384128911,10.875923016113875,0.08358813154474369,0.08426669764442302,0.25,0.275,0.1175,False,False,8700.7384128911,8700.7384128911
6,treatment,policy_value,profit,0.03440625,0.21095501498601613,0.03942201513744734,,8655.857599806684,10.819821999758355,0.08060928193660459,0.08136532879057544,0.25,0.28,0.09625,False,False,8655.857599806684,17356.596012697784
7,treatment,policy_value,profit,0.029218749999999998,0.2103286512441894,0.05806344268346015,,9336.727097120882,11.670908871401103,0.08391548603229185,0.08487096544229267,0.25,0.28375,0.1,False,False,9336.727097120882,26693.323109818666
8,treatment,policy_value,profit,0.032,0.2186473988120232,0.08214067590803223,,8504.768873923618,10.630961092404522,0.08011818564198434,0.08069720301915449,0.25,0.275,0.1025,False,False,8504.768873923618,35198.091983742284
9,treatment,policy_value,profit,0.03134375,0.22090369655302658,0.19804597886084066,6.8584245135134765,9059.210518218692,11.324013147773364,0.08004822387025373,0.08017984183914416,0.25,0.25875,0.08875,False,False,9059.210518218692,44257.30250196098
10,treatment,policy_value,profit,0.0325,0.2079765268407453,0.20523983739292986,6.979178265168433,8966.649980525246,11.208312475656557,0.0819038957871154,0.08084657754920163,0.25,0.27375,0.09125,False,False,8966.649980525246,53223.952482486224
11,treatment,policy_value,profit,0.035687500000000004,0.21328221443041406,0.1673068094239631,10.289745126054731,9136.00011567067,11.420000144588336,0.08399625090029371,0.0841367428218404,0.25,0.2725,0.08125,False,False,9136.00011567067,62359.952598156895
12,treatment,policy_value,profit,0.030093750000000002,0.20120016243050984,0.17944813431618503,15.0025156404185,8931.792820077046,11.164741025096307,0.08147063451125706,0.08286228134024999,0.25,0.275,0.085,False,False,8931.792820077046,71291.74541823394
13,treatment,policy_value,profit,0.0355625,0.21765842269774566,0.15014140420112201,14.356827458423734,8737.340966966985,10.921676208708732,0.07990394734794246,0.07887149366019255,0.25,0.26,0.095,False,False,8737.340966966985,80029.08638520094
14,treatment,policy_value,profit,0.03328125,0.21280509519755925,0.11507421428924341,8.491594752708078,-8346.291604204911,-10.43286450525614,-0.14114346358595603,0.0877250682283176,0.25,0.27625,0.09875,False,False,-8346.291604204911,71682.79478099602
15,treatment,policy_value,profit,0.0323125,0.21704694371291816,0.12835151236235098,1.4576439028059227,-8644.741656377613,-10.805927070472016,-0.1454574994323159,0.07678420671083852,0.25,0.28,0.10625,False,False,-8644.741656377613,63038.053124618404
16,treatment,policy_value,profit,0.032625,0.21537548896543335,0.151965241954546,4.205116896382167,-8524.109778898952,-10.65513722362369,-0.14331117678539063,0.08258451937573544,0.25,0.27625,0.10375,False,False,-8524.109778898952,54513.943345719454
17,treatment,policy_value,profit,0.039531250000000004,0.22813183077847599,0.19451445816584587,-2.23454014951957,-8803.679596659802,-11.004599495824753,-0.1443875045448294,0.08194373103787908,0.25,0.2825,0.11375,True,False,-9053.679596659802,45460.26374905965
18,treatment,policy_value,profit,0.04544974935316947,0.2138591693182454,0.19641030607718915,-0.8821902536019393,-10007.858486069847,-12.509823107587309,-0.14379934690889398,0.01949951481081026,0.25,0.29125,0.0975,False,True,-10007.858486069847,35452.40526298981
19,treatment,policy_value,profit,0.03758044954721863,0.21612262930659057,0.1934648110337671,2.80761952063797,-9997.161077331615,-12.49645134666452,-0.1429006687065344,0.028650162456051974,0.25,0.28,0.09,False,False,-9997.161077331615,25455.244185658194
20,treatment,policy_value,profit,0.04407705368693403,0.22283311551100893,0.16171430280799207,8.96810221402198,-9486.897468119785,-11.858621835149732,-0.14210515066926352,0.022669233019245026,0.25,0.2725,0.0875,False,False,-9486.897468119785,15968.346717538408
21,treatment,policy_value,profit,0.0432218224450194,0.21482496835186943,0.1930893811815369,2.4242568802940236,-9412.616582925657,-11.76577072865707,-0.14343157922486116,0.013923537408635289,0.25,0.2675,0.09875,False,False,-9412.616582925657,6555.7301346127515
