step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.02725,0.2150226447746502,0.01556802492292051,,9515.618318628716,11.894522898285896,0.08090863255200052,0.08828897025936666,0.25,0.2925,0.11375,False,False,9515.618318628716,9515.618318628716
6,treatment,policy_value,profit,0.03959375,0.2182332895875013,0.02667644833282595,,9317.457505860548,11.646821882325685,0.08284353854306921,0.08933624306397034,0.25,0.28,0.10625,False,False,9317.457505860548,18833.075824489264
7,treatment,policy_value,profit,0.031375,0.20814888209963223,0.044735925349437315,,8401.95769498693,10.502447118733663,0.07899786249531393,0.08372145556719911,0.25,0.26125,0.0975,False,False,8401.95769498693,27235.033519476194
8,treatment,policy_value,profit,0.03275,0.21641116924795278,0.05783105829306167,,9166.770760064035,11.458463450080044,0.07952738427061683,0.08375740185906189,0.25,0.27125,0.09125,False,False,9166.770760064035,36401.80427954023
9,treatment,policy_value,profit,0.030406250000000003,0.22185621044599393,0.15903263408162133,12.227957625535403,9193.276701436835,11.491595876796044,0.08298445687926113,0.08937380178248862,0.25,0.26,0.0875,False,False,9193.276701436835,45595.080980977065
10,treatment,policy_value,profit,0.03790625,0.2064572924694167,0.14713886215269625,16.851041871106247,9297.453286826241,11.621816608532802,0.08288568839117541,0.08806105443905939,0.25,0.28125,0.1025,False,False,9297.453286826241,54892.534267803305
11,treatment,policy_value,profit,0.038093749999999996,0.21792884197875062,0.12147065094678716,10.782338909727713,9772.774357114697,12.21596794639337,0.0849642936604888,0.0907884174566871,0.25,0.2775,0.09625,False,False,9772.774357114697,64665.308624918005
12,treatment,policy_value,profit,0.03421875,0.2146832254125716,0.1815692214971778,10.265306865350876,9393.700822042845,11.742126027553557,0.08188724534293172,0.08746253024665002,0.25,0.26875,0.07625,False,False,9393.700822042845,74059.00944696084
13,treatment,policy_value,profit,0.032187499999999994,0.21382043140860665,0.15914127932202382,15.229846308298796,9160.292073432816,11.45036509179102,0.08200945556429576,0.08747508697264086,0.25,0.27625,0.115,False,False,9160.292073432816,83219.30152039367
14,treatment,policy_value,profit,0.031875,0.21314333733578855,0.14666850215639402,16.38460868443392,-9012.354736423755,-11.265443420529694,-0.1456951567031591,0.08412268343351549,0.25,0.2625,0.08625,False,False,-9012.354736423755,74206.9467839699
15,treatment,policy_value,profit,0.02834375,0.2196964104567975,0.10898395116861122,8.129331365100526,-9037.491554770797,-11.296864443463496,-0.14396453736978246,0.08744930894381742,0.25,0.27,0.11,False,False,-9037.491554770797,65169.45522919911
16,treatment,policy_value,profit,0.0366875,0.21250838507320624,0.13471400436745004,3.5421617488071724,-8712.327155666022,-10.890408944582527,-0.1426422186973872,0.09072115019198249,0.25,0.27,0.10375,False,False,-8712.327155666022,56457.128073533095
17,treatment,policy_value,profit,0.031718750000000004,0.22126717000176072,0.13397095589392527,6.5771681822847,-9287.888764399728,-11.60986095549966,-0.14128586184188102,0.09142421593689351,0.25,0.28,0.09875,False,False,-9287.888764399728,47169.239309133365
18,treatment,policy_value,profit,0.0315625,0.22106962188344886,0.16794423577208273,-5.520026864766555,-9059.705802578115,-11.324632253222644,-0.14527720665257374,0.08413520294351894,0.25,0.2675,0.085,True,False,-9309.705802578115,37859.53350655525
19,treatment,policy_value,profit,0.05275274547803618,0.20669630793813432,0.0518529667740379,-0.10783333457799871,-6476.780314568386,-8.095975393210482,-0.14573857024663067,-0.07145173562473049,0.17,0.205,0.1075,False,True,-6476.780314568386,31382.753191986863
20,treatment,policy_value,profit,0.058997496770025845,0.19412638528504544,0.09590464928498514,-0.9042430547518274,-6337.161985828421,-7.921452482285527,-0.1401457397567166,-0.06803553429980438,0.18875,0.21875,0.10125,False,True,-6337.161985828421,25045.591206158442
21,treatment,policy_value,profit,0.06269056847545221,0.21187959367291043,0.10328708254175221,3.295286800360506,-6681.07952715677,-8.351349408945962,-0.14165544967870464,-0.07356084731248504,0.17,0.2125,0.10625,False,False,-6681.07952715677,18364.511679001673
22,treatment,policy_value,profit,0.05716448643410853,0.21207688856950682,0.10265984827800177,-1.777152339510781,-6043.93545022259,-7.554919312778237,-0.1423106579241726,-0.07173336685982892,0.17875,0.20375,0.08875,False,True,-6043.93545022259,12320.576228779082
23,treatment,policy_value,profit,0.0711345284237726,0.20029695557830135,0.1290474508006003,-2.163335944875503,-6289.458962606217,-7.861823703257771,-0.14410147541305765,-0.08051833494889685,0.16875,0.20875,0.11375,True,False,-6539.458962606217,5781.117266172865
24,treatment,policy_value,profit,0.053651117149758454,0.21972453403110084,0.06916881658994725,-2.3843954983137428,-4629.9181474483585,-5.787397684310448,-0.1459729435004442,-0.11337398752822901,0.0875,0.1325,0.095,False,True,-4629.9181474483585,1151.1991187245067
25,treatment,policy_value,profit,0.046536080917874395,0.2206732791426336,0.10368811437405122,-1.1789488454516583,-4389.697592201175,-5.487121990251469,-0.14471837832153328,-0.11418009903045678,0.075,0.125,0.115,False,True,-4389.697592201175,-3238.4984734766686
26,treatment,policy_value,profit,0.041706672705314,0.20589732292932786,0.09749282963494836,0.35871608661589827,-4204.9423201200325,-5.256177900150041,-0.14215306954335408,-0.11522015783987427,0.08,0.1225,0.09125,False,False,-4204.9423201200325,-7443.440793596701
27,treatment,policy_value,profit,0.05412892512077294,0.21616790479898954,0.09063427071889418,1.498077144811266,-4122.384695512749,-5.1529808693909365,-0.14393731001480975,-0.11068241662109818,0.0775,0.11875,0.10125,False,False,-4122.384695512749,-11565.825489109451
28,treatment,policy_value,profit,0.051099033816425124,0.2123661093493169,0.1459474693967503,4.980471070081165,-4365.710331478931,-5.457137914348664,-0.14264662684367224,-0.10666650737274892,0.09,0.1275,0.105,False,False,-4365.710331478931,-15931.535820588382
29,treatment,policy_value,profit,0.04384057971014493,0.20782991568435694,0.13847794239023495,2.879978565717506,-3731.1941728960633,-4.663992716120079,-0.144109838748669,-0.11726143883855884,0.07625,0.1125,0.095,False,False,-3731.1941728960633,-19662.729993484445
