step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.03465625,0.21152857076408385,0.014644106983572632,,9019.281534650083,11.274101918312603,0.08449095486042305,0.10055139968398176,0.25,0.28,0.12,False,False,9019.281534650083,9019.281534650083
6,treatment,policy_value,profit,0.027625,0.2055065820095342,0.02626317702608757,,8634.191965676702,10.792739957095877,0.07973039128470348,0.09596274399173385,0.25,0.2775,0.11,False,False,8634.191965676702,17653.473500326785
7,treatment,policy_value,profit,0.0305,0.20624627826765585,0.04512514487031023,,8492.97317672264,10.6162164709033,0.07810123026502104,0.09318690640048018,0.25,0.285,0.105,False,False,8492.97317672264,26146.446677049425
8,treatment,policy_value,profit,0.037375,0.2088822966908992,0.06094188486199893,,8496.872434254681,10.62109054281835,0.07633109991793371,0.09201528234627691,0.25,0.27,0.11,False,False,8496.872434254681,34643.31911130411
9,treatment,policy_value,profit,0.026187500000000002,0.2089036393609146,0.18808627296758684,19.8957631415831,8421.861835688735,10.527327294610918,0.07864467122966098,0.09484705711912784,0.25,0.285,0.1225,False,False,8421.861835688735,43065.18094699284
10,treatment,policy_value,profit,0.0346875,0.2104687740773251,0.13194890001562828,11.447848915337794,8540.087899699058,10.675109874623821,0.07694394951046421,0.09253910199681328,0.25,0.2825,0.105,False,False,8540.087899699058,51605.2688466919
11,treatment,policy_value,profit,0.03596875,0.20971955983992216,0.09646442224708313,7.433894227570105,8609.368057934089,10.76171007241761,0.07641170420041157,0.090618507996593,0.25,0.275,0.10875,False,False,8609.368057934089,60214.636904625986
12,treatment,policy_value,profit,0.032625,0.2093208123064147,0.08333048851857756,2.1818753031707923,8893.970784693764,11.117463480867205,0.08486477171831998,0.09840812707806748,0.25,0.28,0.1225,False,False,8893.970784693764,69108.60768931975
13,treatment,policy_value,profit,0.0364375,0.20406043078138558,0.08297137880695507,1.9653552028003485,9348.981444716059,11.686226805895073,0.08425615823642868,0.10274611712943232,0.25,0.27,0.0975,False,False,9348.981444716059,78457.5891340358
14,treatment,policy_value,profit,0.03365625,0.21957342653731068,0.11200666075704209,-0.38776358878319295,-8948.622769366179,-11.185778461707724,-0.14273869796615687,0.09785794685894236,0.25,0.2725,0.08875,True,False,-9198.622769366179,69258.96636466963
15,treatment,policy_value,profit,0.05430322966507177,0.2382477105409543,0.07545750586481545,-3.1561280509424394,-8611.781388859246,-10.764726736074058,-0.1426125582412157,0.08093285852137047,0.25,0.265,0.10125,True,False,-8861.781388859246,60397.18497581038
