step,drift_type,trigger,policy,feature_drift,brier,cate_shift,policy_value_estimate_per_customer,oracle_incremental_value,oracle_value_per_customer,true_mean_cate,predicted_mean_uplift,policy_treatment_rate,actual_treatment_rate,exploration_rate_realized,retrained,retraining_blocked_by_cooldown,step_net_value,cumulative_net_value
5,treatment,policy_value,profit,0.03134375,0.21792805904364482,0.019452699698383674,,9318.795383133602,11.648494228917002,0.0803362759827332,0.08376741813922084,0.25,0.2725,0.11125,False,False,9318.795383133602,9318.795383133602
6,treatment,policy_value,profit,0.030906250000000003,0.21658820954416616,0.02688507903692841,,8954.743534617945,11.19342941827243,0.07960420727264875,0.08705617293684256,0.25,0.28125,0.12,False,False,8954.743534617945,18273.538917751546
7,treatment,policy_value,profit,0.032656250000000005,0.205563230560444,0.05351798129570819,,9117.868420139823,11.397335525174778,0.0775846458707199,0.08156212470710042,0.25,0.27375,0.09875,False,False,9117.868420139823,27391.407337891367
8,treatment,policy_value,profit,0.03471875,0.20423976399172042,0.0719000354333444,,8562.115862538292,10.702644828172865,0.08112401793701611,0.08902804222758277,0.25,0.27625,0.1025,False,False,8562.115862538292,35953.523200429656
9,treatment,policy_value,profit,0.027125000000000003,0.22135586550069297,0.14193704454418554,2.1381912982070483,9372.754914106694,11.715943642633368,0.08278635085419023,0.08905070859944868,0.25,0.2825,0.1125,False,False,9372.754914106694,45326.27811453635
10,treatment,policy_value,profit,0.03725,0.2087777209659023,0.16365209247694823,8.401588021315526,9576.691078671884,11.970863848339855,0.08221136983759449,0.08948108616350131,0.25,0.2775,0.105,False,False,9576.691078671884,54902.969193208235
11,treatment,policy_value,profit,0.03390625,0.21467490067884054,0.16947080599036962,12.391665163542397,8742.676478891917,10.928345598614897,0.08360033620202716,0.09177659731912083,0.25,0.2575,0.10375,False,False,8742.676478891917,63645.64567210015
12,treatment,policy_value,profit,0.03265625,0.21672807645569855,0.11383726361083674,12.466617820821725,9119.527792101711,11.399409740127139,0.07843566331929161,0.08278083678968189,0.25,0.27125,0.1025,False,False,9119.527792101711,72765.17346420186
13,treatment,policy_value,profit,0.03075,0.22072659475557796,0.10336007513604954,19.709559027443362,8491.794502025834,10.614743127532293,0.07749751427916884,0.08177115408519693,0.25,0.2775,0.1025,False,False,8491.794502025834,81256.96796622769
14,treatment,policy_value,profit,0.030125,0.2158114618112304,0.08076381876715898,10.37329493912253,-9012.303093859311,-11.265378867324138,-0.14290939769354888,0.08935954401524054,0.25,0.27375,0.10125,False,False,-9012.303093859311,72244.66487236838
15,treatment,policy_value,profit,0.0313125,0.21389928571183836,0.09323682842340321,-2.489983293764607,-8820.425300860836,-11.025531626076045,-0.14327371067347147,0.08970996152734369,0.25,0.2725,0.1,True,False,-9070.425300860836,63174.23957150754
16,treatment,policy_value,profit,0.053354779411764704,0.21836214839392812,0.1039996944591432,-2.004387414375886,-9307.57851219227,-11.634473140240338,-0.14239827214848857,0.02335575865466407,0.25,0.28,0.1075,True,False,-9557.57851219227,53616.66105931527
17,treatment,policy_value,profit,0.04894654805352798,0.2037982421974512,0.052867117133662246,-9.84231376298206,-6958.433899482986,-8.698042374353733,-0.1444843878097556,-0.05622301306504067,0.205,0.2225,0.10375,True,False,-7208.433899482986,46408.227159832284
